Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
0,가래떡(떡국용),311.0,68.3,5.3,1.0,0.0,0.0,231.0,
1,가래떡(떡볶이용),96.0,21.0,1.6,0.3,0.0,0.0,71.0,
2,가자미,58.0,0.1,9.9,1.7,44.6,0.0,104.0,
3,가자미구이,76.0,0.2,11.2,3.1,50.1,0.0,255.0,2012-01-06
4,가자미조림,45.4,2.4,6.6,1.2,27.0,0.4,183.0,2012-01-04
5,가지,6.0,1.6,0.3,0.0,0.3,0.2,1.0,2012-01-06
6,가지나물,19.0,2.9,0.8,0.9,0.4,0.4,278.0,2012-01-16
7,간장(왜간장),8.0,0.7,1.2,0.0,0.0,0.0,879.0,
8,갈비구이,586.0,14.3,28.1,43.7,87.4,0.3,1093.0,2012-01-04
9,갈비찜,262.2,3.5,13.7,20.0,43.2,0.1,413.0,2012-01-04
10,갈비탕,362.5,20.7,16.5,22.3,49.9,0.6,992.0,2012-01-04
11,갈치,60.0,0.0,7.4,3.0,28.8,0.0,40.0,
12,갈치구이,110.4,0.1,11.3,6.8,44.1,0.0,331.0,
13,갈치조림,37.0,1.8,4.0,1.5,13.8,0.3,120.0,2012-01-04
14,갈치찌개,48.2,1.9,5.4,2.1,19.2,0.3,538.0,2012-01-16
15,감(곶감),119.0,33.0,1.1,0.1,0.0,1.4,3.0,2012-01-04
16,감(단감),37.0,10.4,0.4,0.0,0.0,0.4,6.0,2012-01-04
17,감자,43.0,9.5,1.8,0.0,0.0,0.1,2.0,2012-01-04
18,감자국,55.1,11.4,2.8,0.1,1.5,0.2,239.0,2012-01-04
19,감자볶음,36.2,6.0,1.1,1.0,0.1,0.1,119.0,2012-01-04
20,감자샐러드,64.0,9.0,1.7,2.5,7.1,0.2,316.0,2012-01-04
21,감자조림,39.0,6.8,1.3,0.9,0.0,0.1,104.0,2012-01-04
22,감자칩,239.0,23.6,2.5,16.7,0.0,0.5,117.0,2012-01-04
23,강낭콩,11.0,2.0,0.7,0.1,0.0,0.1,0.0,2012-01-04
24,개고기,144.0,0.4,10.5,11.1,20.0,0.0,40.0,
25,건빵,104.0,18.5,2.2,2.4,0.5,0.1,116.0,2012-01-04
26,검정콩,42.0,3.4,3.9,2.0,0.0,0.5,0.2,
27,겨자,13.0,1.0,0.9,0.7,0.0,0.2,1.0,2012-01-17
28,경단,144.0,30.7,2.5,1.1,0.0,0.2,111.0,2012-01-04
29,고구마,90.0,21.8,1.0,0.1,0.0,0.6,11.0,
30,고구마맛탕,266.0,48.1,2.5,8.0,0.1,1.7,18.0,
31,고구마줄기,2.0,0.7,0.1,0.0,0.0,0.2,1.0,2012-01-17
32,고구마튀김,72.4,11.7,0.7,2.8,0.0,0.2,58.0,2012-01-04
33,고기만두,348.1,35.0,19.2,14.3,24.1,0.7,881.0,2012-01-04
34,고들빼기,14.0,3.2,1.2,0.2,0.0,0.5,4.0,2012-01-17
35,고등어,92.0,0.0,10.1,5.2,24.0,0.0,38.0,
36,고등어(자반고등어),95.0,0.1,14.8,3.4,25.9,0.0,990.0,2012-01-04
37,고등어구이,110.4,0.0,10.6,7.1,25.2,0.0,226.0,2012-01-04
38,고등어조림,107.0,3.3,11.1,5.4,24.2,0.5,284.0,
39,고등어찌개,66.0,2.5,6.7,3.3,14.6,0.3,225.0,2012-01-17
40,고등어튀김,167.3,6.4,11.5,10.0,34.9,0.0,350.0,2012-01-04
41,고사리,8.0,2.0,1.0,0.0,0.0,0.6,2.0,2012-01-06
42,고사리(말린것),68.0,16.3,7.7,0.2,0.0,2.9,5.0,2012-01-17
43,고사리나물,25.5,2.6,1.3,1.7,0.0,0.7,328.0,2012-01-04
44,고추냉이(와사비),6.0,1.4,0.3,0.1,0.0,0.1,2.0,2012-01-04
45,고추멸치볶음,30.3,2.3,2.7,1.2,5.8,0.1,112.0,2012-01-11
46,고추볶음,16.0,1.0,0.7,1.3,0.0,0.2,111.0,2012-01-17
47,고추장,27.0,7.5,1.0,0.1,0.0,0.5,596.0,
48,고추장아찌,6.3,1.7,0.4,0.1,0.0,0.5,223.0,2012-01-04
49,고추장아찌,5.0,1.5,0.3,0.1,0.0,0.4,192.0,2012-01-04
50,고추튀김,42.0,2.2,0.5,3.7,0.0,0.2,254.0,2012-01-17
51,고춧가루,5.0,1.1,0.3,0.2,0.0,0.4,0.0,
52,고춧잎,2.0,0.3,0.1,0.0,0.0,0.0,0.0,2012-01-06
53,골뱅이(통조림),34.0,1.6,6.0,0.3,45.6,0.0,209.0,
54,골뱅이무침,82.0,10.5,8.3,1.1,55.8,0.6,421.0,2012-01-04
55,곰보빵(소보로빵),263.0,39.6,6.2,9.2,18.9,0.3,162.0,
56,곰탕(가정식),119.0,1.8,12.3,5.6,31.0,0.1,833.0,2012-01-17
57,곰탕(외식),198.0,3.1,20.5,9.3,51.7,0.2,1388.0,2012-01-04
58,곱창전골,127.5,11.9,8.8,5.8,85.5,1.1,572.0,2012-01-04
59,과일탄산음료,123.0,31.8,0.0,0.0,0.0,0.0,5.0,2012-01-04
60,광어매운탕,115.0,5.9,18.1,2.8,49.0,1.1,139.0,2012-01-04
61,국밥,343.9,66.5,11.2,2.6,16.4,0.5,876.0,2012-01-04
62,군만두,429.0,36.7,19.0,22.5,24.0,0.4,1068.0,2012-01-04
63,굴,13.0,0.7,1.8,0.2,7.2,0.0,46.0,
64,굴무침,23.3,1.7,1.6,1.3,5.7,0.2,156.0,2012-01-17
65,굴비,266.0,0.3,35.5,12.2,0.0,0.0,330.0,2012-01-04
66,귤,38.0,9.9,0.7,0.1,0.0,0.1,11.0,2012-01-06
67,귤쥬스,78.0,20.8,0.4,0.2,0.0,0.0,26.0,2012-01-04
68,근대,7.0,1.4,1.0,0.1,0.5,0.4,72.0,2012-01-17
69,근대된장국,36.1,5.3,3.7,0.8,0.1,0.8,868.0,2012-01-17
70,금귤,66.0,18.0,0.9,0.1,0.0,0.8,14.0,2012-01-04
71,기장,22.0,4.5,0.7,0.1,0.0,0.0,0.0,2012-01-06
72,김,2.0,0.9,0.7,0.0,0.0,0.1,0.0,2012-01-04
73,김구이,3.0,0.9,0.9,0.0,0.5,0.0,29.0,
74,김무침,74.0,5.7,5.2,6.2,2.3,0.4,363.0,2012-01-17
75,김밥,306.0,57.4,9.2,4.2,64.5,0.7,601.0,
76,김치(갓김치),14.0,3.0,1.4,0.3,0.0,0.6,319.0,2012-01-04
77,김치(고들빼기김치),26.0,4.8,1.6,1.1,0.0,1.0,892.0,2012-01-17
78,김치(깍두기),12.0,2.6,0.6,0.1,0.0,0.2,209.0,2012-01-04
79,김치(깻잎김치),19.0,3.4,1.4,0.6,0.0,0.7,852.0,2012-01-11
80,김치(나박김치),9.0,2.5,0.8,0.1,0.0,0.8,1256.0,2012-01-04
81,김치(동치미),11.0,3.0,0.7,0.1,0.0,0.5,609.0,
82,김치(무청김치),8.0,0.8,0.9,0.2,0.0,0.0,0.0,2012-01-17
83,김치(배추김치),7.0,1.6,0.8,0.2,0.0,0.5,458.0,
84,김치(백김치),7.0,1.8,0.6,0.1,0.0,0.5,380.0,2012-01-04
85,김치(부추김치),21.0,3.3,1.9,0.8,0.0,0.9,916.0,2012-01-17
86,김치(열무김치),13.0,3.0,1.1,0.2,0.0,0.5,218.0,2012-01-04
87,김치(오이김치),16.0,3.2,1.2,0.3,0.0,0.5,803.0,2012-01-04
88,김치(오이소박이),6.0,1.4,0.6,0.1,0.0,0.5,212.0,2012-01-04
89,김치(총각김치),15.0,3.0,0.9,0.2,0.0,0.2,1211.0,
90,김치(파김치),16.0,3.5,1.0,0.2,0.0,0.5,263.0,2012-01-04
91,김치국,21.3,2.2,2.5,0.8,1.8,0.6,705.0,2012-01-17
92,김치볶음,19.1,2.0,1.0,1.3,0.0,0.6,478.0,2012-01-04
93,김치볶음밥,480.8,93.0,9.6,6.8,5.0,1.2,733.0,2012-01-04
94,김치전,133.3,17.8,4.6,4.8,47.3,0.7,815.0,2012-01-17
95,김치찌개,88.1,4.0,7.2,5.7,11.4,1.0,942.0,
96,김튀김,208.2,25.8,7.5,11.6,2.9,0.6,172.0,2012-01-17
97,깨(검정깨),11.0,0.3,0.4,1.0,0.0,0.1,0.0,2012-01-06
98,깨(흰깨),12.0,0.4,0.4,1.1,0.0,0.1,0.0,
99,깨소금,12.0,0.3,0.4,1.1,0.0,0.1,0.0,2012-01-17
