식품명,1회제공량,에너지(Kcal),단백질(g),탄수화물(g),지질(g),총당류(g),나트륨(mg),식품코드
게살볶음밥&참치오믈렛,215.0,315.0,10,54,6,3.63,930.0,P086942
맛있닭 다이어트도시락 게살볶음밥&닭가슴살볼 깻잎맛,210.0,330.0,16,56,4,8.0,730.0,P089194
맛있닭 다이어트도시락 연근우엉밥&스팀닭가슴살마늘맛,210.0,326.6,14.5,48.7,8.2,3.2,605.9,P089195
양파송송볶음밥&불고기오믈렛,200.0,310.0,12,49,7,2.16,520.0,P091666
그리밀 단백질쉐이크 곡물맛,25.0,90.0,11,12,0,2.0,170.0,P030688
그리밀 단백질쉐이크 단호박맛,25.0,90.0,11,12,0,2.0,170.0,P030689
그리밀 단백질쉐이크 고구마맛,25.0,90.0,11,12,0,3.0,170.0,P030690
그리밀 단백질쉐이크 녹차라떼맛,25.0,90.0,11,12,0.6,3.0,170.0,P030691
그리밀 단백질쉐이크 딸기라떼맛,25.0,90.0,11,12,0,3.0,170.0,P030692
그리밀 단백질쉐이크 바나나맛,25.0,90.0,11,12,0,3.0,170.0,P030693
그리밀 단백질쉐이크 블루베리요거트맛,25.0,90.0,11,12,0,3.0,160.0,P030694
그리밀 단백질쉐이크 멜론맛,25.0,90.0,11,12,0,2.0,170.0,P030695
그리밀 단백질쉐이크 초코맛,25.0,90.0,11,12,0,2.0,160.0,P030696
그리밀 단백질쉐이크 쿠키앤크림맛,25.0,90.0,11,12,0.5,3.0,170.0,P030697
그리밀 단백질쉐이크 카페라떼맛,25.0,90.0,11,12,0,3.0,160.0,P030698
그리밀 단백질쉐이크 바닐라크림맛,25.0,90.0,11,12,0,3.0,160.0,P030699
스텝 리전트1,100.0,410.0,16,69,8,0.0,140.0,P030823
스텝 리전트2,100.0,415.0,18,66,9,0.0,160.0,P030824
스텝 리전트3,100.0,415.0,20,64,9,0.0,160.0,P030825
스텝 엄선1,100.0,410.0,16,69,8,0.0,120.0,P030826
스텝 엄선2,100.0,415.0,18,66,9,0.0,160.0,P030827
스텝 엄선3,100.0,415.0,20,64,9,51.43,200.0,P030828
아기 사랑1,100.0,518.0,12.5,55.4,27.4,52.14,140.0,P030829
아기 사랑2,100.0,511.0,13.6,55.2,26.2,0.0,150.0,P030830
아기 사랑3,100.0,501.0,16.5,53.1,24.7,47.86,180.0,P030831
